Designator,Mid X,Mid Y,Rotation,Layer
C1,116.078,-86.601,90.0,top
C11,110.236,-79.756,270.0,top
C2,124.701,-80.772,180.0,top
C3,132.575,-89.395,270.0,top
C4,120.523,-97.295,270.0,top
C5,149.733,-77.978,90.0,top
C6,128.765,-81.4578,180.0,top
C7,126.238,-78.346,270.0,top
C8,144.018,-79.0572,90.0,top
D1,142.0115,-99.06,0.0,top
D2,138.4555,-89.408,0.0,top
J1,146.304,-89.154,0.0,top
R1,111.6565,-97.536,180.0,top
R2,145.402,-99.06,180.0,top
R3,142.1772,-89.408,180.0,top
R6,111.6565,-99.314,180.0,top
SW1,137.766,-78.486,180.0,top
U1,123.952,-89.09,90.0,top
U2,128.717,-78.74,270.0,top
U3,146.8905,-78.8924,180.0,top
